start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Tue Mar 28 06:43:57 UTC 2023,Tue Mar 28 06:58:57 UTC 2023,"4","8","15","30","28.180251559843178","14.090125779921589","41.240038277298055","20.98651533010028","8.430018655067155","4.491581748373575","2.2457908741867874","2.3392522489919663"
Tue Mar 28 06:58:58 UTC 2023,Tue Mar 28 07:13:58 UTC 2023,"4","8","15","30","10.133259798261184","5.066629899130592","35.99227770416765","19.78040824920172","1.4069995436662188","0.27089739198274254","0.13544869599137127","0.15678594263906767"
Tue Mar 28 07:13:58 UTC 2023,Tue Mar 28 07:28:58 UTC 2023,"4","8","15","30","7.384451214608918","3.692225607304459","10.257154387266686","5.439168124432521","1.9230260517331772","0.01136728153562698","0.00568364076781349","0.006350307016089511"
Tue Mar 28 07:28:58 UTC 2023,Tue Mar 28 07:43:59 UTC 2023,"4","8","15","30","7.539461995694502","3.769730997847251","10.959280891332309","5.511731399033064","1.3896722221009743","0.02030123937356516","0.01015061968678258","0.012799710725285594"
Tue Mar 28 07:43:59 UTC 2023,Tue Mar 28 07:58:59 UTC 2023,"4","8","15","30","7.578334529676551","3.7891672648382757","10.487876050100507","5.47004273913335","1.6750616107019596","0.0233460462379173","0.01167302311895865","0.012967523613786754"
Tue Mar 28 07:58:59 UTC 2023,Tue Mar 28 08:14:00 UTC 2023,"4","8","15","30","7.550851275594517","3.7754256377972584","11.227417540270835","5.903373911301605","1.693079016264528","0.028915612524139142","0.014457806262069571","0.01570756509311326"
Tue Mar 28 08:14:00 UTC 2023,Tue Mar 28 08:29:00 UTC 2023,"4","8","15","30","7.599583926933377","3.7997919634666886","11.141383218563472","5.989977687764137","1.3298707198002375","0.029603849795406777","0.014801924897703388","0.01485913665976908"
Tue Mar 28 08:29:00 UTC 2023,Tue Mar 28 08:44:01 UTC 2023,"4","8","15","30","7.559539049913227","3.7797695249566137","10.834166766831185","6.09386359360069","1.645306616598585","0.03220297190572815","0.016101485952864075","0.016286755947114488"
Tue Mar 28 08:44:01 UTC 2023,Tue Mar 28 08:59:01 UTC 2023,"4","8","15","30","7.501786170450117","3.7508930852250586","10.764679738568763","5.740868981000191","1.56711853776748","0.03250503547932222","0.01625251773966111","0.01645203511610001"
Tue Mar 28 08:59:01 UTC 2023,Tue Mar 28 09:14:02 UTC 2023,"4","8","15","30","6.329584400084309","3.1647922000421547","9.41691989056999","4.75627646103579","1.5824428411976745","0.0022166468942539245","0.0011083234471269622","0.001121673910345363"
Tue Mar 28 09:14:02 UTC 2023,Tue Mar 28 09:29:02 UTC 2023,"4","8","15","30","6.0423162209478","3.0211581104739","8.828827153569243","4.742629374233851","1.7891909193674413","0","0","0"
Tue Mar 28 09:29:02 UTC 2023,Tue Mar 28 09:44:03 UTC 2023,"4","8","15","30","5.939326909041135","2.9696634545205676","8.755609365769972","4.396226038733342","1.4069609267016252","0","0","0"
Tue Mar 28 09:44:03 UTC 2023,Tue Mar 28 09:59:03 UTC 2023,"4","8","15","30","5.86250278739996","2.93125139369998","9.019620326933605","4.692094137201396","1.3518891163985245","0","0","0"
Tue Mar 28 09:59:04 UTC 2023,Tue Mar 28 10:14:04 UTC 2023,"4","8","15","30","5.830746409405515","2.9153732047027576","8.876006899638256","4.484633694802566","1.1769096461629185","0","0","0"
Tue Mar 28 10:14:04 UTC 2023,Tue Mar 28 10:29:05 UTC 2023,"4","8","15","30","5.771878382947891","2.8859391914739456","8.930806499401418","4.477442821868075","1.2074779681667376","0","0","0"
Tue Mar 28 10:29:05 UTC 2023,Tue Mar 28 10:44:06 UTC 2023,"4","8","15","30","5.752884449372198","2.876442224686099","7.93497611550071","4.55304153036559","1.5921948479682517","0","0","0"
Tue Mar 28 10:44:06 UTC 2023,Tue Mar 28 10:59:06 UTC 2023,"4","8","15","30","5.7207141310955745","2.8603570655477872","8.548102624764821","4.570011845630749","1.2240566958362857","0","0","0"
Tue Mar 28 10:59:06 UTC 2023,Tue Mar 28 11:14:07 UTC 2023,"4","8","15","30","12.78480613745555","6.392403068727775","21.862597003097957","11.52902381773262","1.7292235052678735","0.25559784644251576","0.12779892322125788","0.1393901224747058"
Tue Mar 28 11:14:07 UTC 2023,Tue Mar 28 11:29:07 UTC 2023,"4","8","15","30","14.785155562505565","7.392577781252783","20.43067568083061","10.468696614199628","4.100286038367388","0.28433997489885965","0.14216998744942982","0.15445537427472067"
Tue Mar 28 11:29:07 UTC 2023,Tue Mar 28 11:44:07 UTC 2023,"4","8","15","30","15.144111698998863","7.5720558494994314","21.280257986066864","11.056637897967205","3.9265969299323236","0.3006683995149228","0.1503341997574614","0.17360489728734105"
Tue Mar 28 11:44:08 UTC 2023,Tue Mar 28 11:59:08 UTC 2023,"4","8","15","30","14.694777331195592","7.347388665597796","21.28686075709993","10.743753389432095","2.9390960213689445","0.31973036708734764","0.15986518354367382","0.1945413468264267"
Tue Mar 28 11:59:08 UTC 2023,Tue Mar 28 12:14:08 UTC 2023,"4","8","15","30","14.301388317105465","7.150694158552732","21.461182809465875","11.049626651301514","3.509785361401737","0.32584307806436896","0.16292153903218448","0.2062815239356266"
Tue Mar 28 12:14:09 UTC 2023,Tue Mar 28 12:29:09 UTC 2023,"4","8","15","30","14.45017637658334","7.22508818829167","21.552950089801257","10.954923595600606","2.9949587733019145","0.31910193401264053","0.15955096700632027","0.193541148044828"
Tue Mar 28 12:29:09 UTC 2023,Tue Mar 28 12:44:09 UTC 2023,"4","8","15","30","14.514077184530002","7.257038592265001","22.347737355933837","11.636469862233692","3.7636776315009532","0.3033533491482778","0.1516766745741389","0.18292258000575026"
